supplier_id,supplied_product_count,total_quantity_sold,average_unit_price,order_count,cluster
5,-0.9075197741929262,-1.1276896258448508,-0.11087120968326672,-0.9318575150129839,0
20,-0.08023334721079578,-0.3458581423370132,-0.07829238677478144,-0.2978245994198683,1
14,-0.08023334721079578,0.24145971121597604,-0.24705919288553987,0.14112126522151944,2
6,-0.08023334721079578,-0.781153207430145,-0.8298251973353047,-0.5904551758474601,3
24,-0.08023334721079578,-0.1286827302515027,0.2907777255927925,0.11673538385255346,4
19,-0.9075197741929262,-0.15134451238216465,-0.7524899407264126,-0.0783516670991744,5
24,-0.08023334721079578,-0.1286827302515027,0.2907777255927925,0.11673538385255346,4
2,0.7470530797713346,-0.480884594198874,-0.38896862781640223,-0.5660692944784941,6
9,-0.9075197741929262,-1.2428870183423826,-0.7305553730618172,-1.3708033796543715,7
26,-0.9075197741929262,-0.5167657492390888,0.21276218242099326,-0.44413988763366413,8
2,0.7470530797713346,-0.480884594198874,-0.38896862781640223,-0.5660692944784941,6
8,1.5743395067534651,1.354719758384745,-0.469482735714743,1.5555023846215466,9
15,-0.08023334721079578,0.26600997519085984,-0.43798800078738725,0.2386647906973834,10
28,-0.9075197741929262,0.7825097595855304,0.888583605007482,0.3362083161732473,11
14,-0.08023334721079578,0.24145971121597604,-0.24705919288553987,0.14112126522151944,2
18,-0.9075197741929262,-0.7820974483522559,5.232120310500351,-0.9074716336440178,12
23,-0.08023334721079578,-0.4799403532767631,-0.5142553466261185,-0.5172975317405621,13
10,-1.7348062011750567,-1.0568715566865323,-1.245442082260435,-0.9562433963819498,14
25,-0.9075197741929262,-0.5535911452014145,-0.6773279542848052,-0.5172975317405621,15
4,-0.08023334721079578,-1.048373388387534,0.24667405106336962,-0.9562433963819498,16
1,-0.9075197741929262,-0.8113689169376943,-0.5742683324125556,-0.8830857522750518,17
7,1.5743395067534651,1.598333916289361,0.22174429438077262,1.5311165032525804,18
17,-0.08023334721079578,-0.9643359463196626,-0.48983056209452375,-0.9806292777509158,19
28,-0.9075197741929262,0.7825097595855304,0.888583605007482,0.3362083161732473,11
24,-0.08023334721079578,-0.1286827302515027,0.2907777255927925,0.11673538385255346,4
12,1.5743395067534651,1.7258064407743345,0.6760887535543694,1.7262035542043084,20
11,-0.08023334721079578,-0.7632126299100377,-0.01881367288869427,-0.8099281081681539,21
18,-0.9075197741929262,-0.7820974483522559,5.232120310500351,-0.9074716336440178,12
12,1.5743395067534651,1.7258064407743345,0.6760887535543694,1.7262035542043084,20
1,-0.9075197741929262,-0.8113689169376943,-0.5742683324125556,-0.8830857522750518,17
